ID,Current Position,Targeted Position,Total Working Experience,Candidate Level,Domisili,Education 1,Education 2,Education 3,Expected Benefit Botom,Expected Benefit Up,Notice Period,Tech Stack,Certification,Estimate Bottom,Estimate Up
SKU-MANU906,Mahasiswa Teknologi Informasi,,4,Junior,Medan,"Sarjana Teknologi Informasi, Universitas Muhammadiyah Sumatera Utara - Medan, Sumatera Utara",,,0,0,,"HTML, CSS, JavaScript, Java, PHP, SQL, Bootstrap, Laravel, Jaringan Komputer","[""JUNIOR NETWORK ADMINISTRATOR, Vocational School Graduate Academy - Medan, Sumatera Utara 2023 - 2026""]",4000000.0,6000000.0
SKU-CONU872,Coordinator,,3,Mid-Level,Jakarta,"Politeknik Statistika STIS, Jakarta Aug 2021 – Present Bachelor of Applied Science, Computational Statistics","Universitas Padjadjaran, Sumedang Aug 2020 – Aug 2021 Bachelor of Science, Statistics","SMAN 6 Cimahi, Cimahi 2017 – 2020 Science Major",0,0,,"Laravel, CodeIgniter, NextJS, ReactJS, ExpressJS, Kotlin, Java Spring Boot, PHP, HTML5, Cascading Style Sheets (CSS), Javascript, Typescript, Python, GraphQL, MySQL, PostgreSQL, MongoDB, EJS Templating Engine, Spring Boot MVC, Livewire, InertiaJS, Tailwind CSS, Bootstrap CSS, Jquery, Docker, NodeJS","[""Indonesian Language Debate City, Cimahi 2017 – 2018"",""Mathematics & Science Olympic, Cimahi 2017 – 2019"",""Creative IT Training, Cimahi 2018"",""BPS STIS – Android Developer, Indonesia 2023""]",8000000.0,14000000.0
SKU-DANU1331,Data Analyst,,4,Mid-Level,"Jakarta, Indonesia","Data Science, Pakuan University, 2023","Bachelor of Computer Science, Pakuan University, 2016",,0,0,,"Python, SQL, Tableau, MySQL, PostgreSQL, Dbeaver, Looker Studio, Metabase, Google Big Query, Google Cloud Storage, Google Colab, Cloudera Impala, Linux, Excel, PowerPoint, Word, Data Visualization, Machine Learning, Data Cleansing","[""Associated Data Scientist - BNSP (Badan Nasional Sertifikasi Profesi) Link"",""Data Science - Digital Skola Link"",""Data Analyst - Digitalent Kominfo Link"",""SQL Basic - Hackerrank Link"",""SQL (Intermediate) - Hackerrank Link""]",8000000.0,12000000.0
SKU-NUCO293,,Content Creator,0,Junior,"Jalan terusan kopo, Gang haji sobandi, RT 01 RW 03","Universitas Teknologi Bandung, S1 Desain Grafis (2025 - )","SMK MARHAS MARGAHAYU, RPL/Programmer (2021 - 2024)",,0,0,,"Adobe Photoshop, Adobe Illustrator, Figma, Canva",,4000000.0,6000000.0
SKU-IONU1391,iOS Developer - Freelance,,2,Mid-Level,,"Amikom Yogyakarta University - Bachelor Of Science, Informatics 2018 -2022",SMK TELEKOMUNIKASI TELESANDI - Rekayasa Perangkat Lunak 2015 - 2018,,0,0,,"Swift, SwiftUI, Xcode RestAPI, Git, Firebase",,8000000.0,12000000.0
SKU-FUNU828,Fullstack Developer,,2,Mid-Level,Depok,"Bandung State Polytechnic, D4 Electronics Engineering, 2022",,,0,0,,"ReactJS, NextJS, Angular, React Native (Mobile), ExpressJs, Golang, Laravel, HTML, JQuery, PostgreSQL, MySQL, Oracle","[""C# (Basic) HackerRank""]",8000000.0,12000000.0
SKU-FRNU352,Freelancer,,0,Junior,Makassar,Universitas Telkom - Bandung Aug 2016 - Feb 2022,,,0,0,,"Microsoft Office, HTML & CSS, JavaScript, Bootstrap, Wordpress, Vue.js, React.js, Nuxt.js, Git, Microcontroller Language, MySQL, MariaDB, PostgreSQL, PC/Laptop Hardware & Software Installation, PVSyst, Adobe Photoshop",,4000000.0,6000000.0
SKU-FUNU1351,Full-Stack Web Developer | Flutter Developer | Computer Science Student,,0,Junior,"Medan, Sumatera Utara, Indonesia","Universitas Negeri Medan, Sarjana Komputer - S.Kom, Computer Science (Agustus 2022 - Agustus 2026)","SYNRGY Academy, Full-Stack Web JavaScript (Februari 2024 - September 2024)","SMK Raksana 2 Medan, Software Engineering (Juli 2019 - Mei 2022)",0,0,,"TypeScript, PostgreSQL, Full-Stack Development, Express.js, Adonis.js, Front-End Web Development, Flutter","[""Bootcamp Full-Stack Web Developer"",""Multi-Platform App Developer (Intermediate)"",""Sertifikat Kelas Belajar RESTful dengan Express.js"",""Belajar Fundamental Front-End Web Development"",""Sertifikat Kelas Belajar Membangun RESTful dengan Adonis.js""]",4000000.0,7000000.0
SKU-WENU1385,Web Frontend & UI/UX Designer | UI Engineer,,6,Mid-Level,"Cirebon, West Java, Indonesia","STIKOM POLTEK CIREBON, Bachelor of informatica, Informatics · (August 2022 - August 2026)","SMKN 1 Lemah Abang, Computer and Network Engineering · (January 2019 - June 2022)","Bootcamp ReactJs Sanbercode, Web Frontend • Non-Formal Education · (February 2023 - April 2023)",0,0,,"HTML, CSS, JavaScript, TailwindCss, Bootstrap, Reactjs, Sass","[""Course Completion Certificate JavaScript for Web Development | Progate"",""UI/UX Design Mastery (Gold) Course Completion Certificate"",""Fundamental Sass"",""UX Design Gestlat"",""Fullstack Web Developer - BWA""]",8000000.0,12000000.0
SKU-FUNU670,Fullstack Developer,,1,Mid-Level,,Teknik Komputer dan Jaringan – SMKN 01 Adiwerna 2019 – 2022,Backend Golang – Fazztrack Jul 2022 – Oct 2022,,0,0,,"Golang, TypeScript, JavaScript, HTTP, gRPC, WebSocket, Event Driven Architecture, SMTP, Gorilla/mux, Echo, Fiber, Gin, Next.js, Express.js","[""Go (Basic)"",""Go (Intermediate)"",""Rest API (Intermediate)"",""SQL (Basic)"",""SQL (Intermediate)"",""SQL (Advanced)"",""Software Engineer Intern"",""Software Engineer"",""Problem Solving (Basic)""]",8000000.0,12000000.0
SKU-FUNU1118,Fullstack Developer,,1,Mid-Level,"Bandung, Indonesia","Jenderal Achmad Yani University, Bachelor of Mechanical, Graduated 2019",,,0,0,,"Typescript, Microservice, Bootstrap, Tailwind, Prisma, React.js, React Native, Next.js, Vue.js, Php, Go, Laravel, GRPC, Express, Nest.js, Websocket, Ubuntu",,8000000.0,12000000.0
SKU-SUNU462,Supervisor engineering,,5,Mid-Level,Surabaya,SMK Negri 2 Surabaya (Teknik Komputer dan Jaringan),SMP Tri Karya Surabaya,SDN Sememi II/123 Surabaya,0,0,,"Komputer, CCTV, Lift, Eskalator, Lampu, Panel, AC",[],6000000.0,9000000.0
SKU-IONU1392,IOS Developer (Contract),,9,Senior,"Depok, Jawa Barat","S1 Teknik Informatika Institut Teknologi Sepuluh Nopember (GPA = 3,68) 2011 – 2015",SMA Negeri 1 Jember 2008 – 2011,SMP Negeri 2 Jember 2005 – 2008,0,0,,"ASP.NET, Vue.js, IOS, Flutter, Go",[],18000000.0,30000000.0
SKU-NUTE337,,Teknisi Wiring,0,Junior,"Tulungagung, Jawa Timur","SMKN 3 BOYOLANGU, Teknik Instalasi Tenaga Listrik (TITL), 2025",,,0,0,,"Avometer,Tang ampere, Insulation Tester",,3000000.0,4500000.0
SKU-NUNU1090,,,0,Junior,"Katapang, Bandung",SMKN 1 Katapang | Rekayasa Perangkat Lunak (RPL) 2021 - 2024,,,0,0,,"JavaScript, CSS, PHP, Node.js, Express.js, React Native, MySQL, Laravel",,4000000.0,6000000.0
SKU-BANU1297,Backend Developer,,10,Mid-Level,"Kota Cimahi, Indonesia",Institut Teknologi Telkom,"S1 Teknik Informatika
2005-2012",,0,0,,"Python, FastAPI, SQL, Linux",[],8000000.0,12000000.0
SKU-QANU1413,QA ENGINEER,,3,Mid-Level,,"bachelor degree in Information System
2017-2021
GPA 3.23 out of 4
INSTITUT TEKNOLOGI DEL",,,0,0,,"JIRA, TestRail, MySQL, PostgreSQL, DBeaver, Confluence, MS Excel, MS Office, Windows, macOS, TestNG (Java), Appium Inspector (Android), Browserstack (iOS), Postman, BloomRPC, XRay, google sheet",,8000000.0,12000000.0
SKU-NUNU1363,,,4,Mid-Level,"Sukabumi, Indonesia","Bachelor of Informatics, Widyatama University, Jul 2024",,,0,0,,"HTML, CSS, JavaScript, Bootstrap, React JS, Laravel, PHP, Java, Python, MySQL, Android, MVVM, Kotlin, Jetpack Compose, XML, JSON, Room, SQLite, API, Git, UI/UX","[""Lead of Google Developer Student Clubs by Google for Developers Jul 2024"",""Learn Intermediate Android Application Development (Credential ID: 2VX3J6533PYQ) by Dicoding May 2023"",""Learn SOLID Programming Principles (Credential ID: QLZ9QQ04MZ5D) by Dicoding May 2023"",""Web Programming Basics (Credential ID: EYX46V81JPDL ) by Dicoding May 2023""]",8000000.0,12000000.0
SKU-LUNU332,Lulusan Baru,,3,Junior,"Pamulang, Tangerang Selatan","Universitas Pamulang – Tangerang Selatan, Banten, Lulus Sarjana Teknik Informatika, Januari 2025",,,0,0,,"HTML, JavaScript, PHP, MySQL, Sql Server, MS Office Word, MS Office Exel, MS Power",,4000000.0,6000000.0
SKU-SYNU322,System Engineer,,2,Mid-Level,Kabupaten Bandung,Universitas Jenderal Achmad Yani | Teknik Informatika | 2020,SMK Angkasa 1 Lanud Sulaiman Margahyu | Teknik Komputer dan Jaringan | 2015,,0,0,,"IT Support -Hardware / Software, Windows & Linux (Ubuntu, Centos, Redhat), Document Editor (Libre dan Microsoft), Networking, IT Security, Programming Php, Python, Data Analysis, QA / Software Testing, Software Modeling, System Analyst, Software Implentation & Deployment, Solution Architect","[""Sertifikat Kompetensi Memulai Pemrograman Dengan Python"",""Sertifikat Kompentensi Uji Keahlian Dalam Bidang Komputer dan Jaringan"",""Sertfikat Kompetensi CCNA Routing and Switching: Introduction to Networks"",""Sertfikat Kompetensi CCNA Cyber Essentials"",""Sertfikat Kompetensi CCNA CyberOps Associate""]",8000000.0,12000000.0
SKU-ITNU1131,IT Web Developer,,6,Mid-Level,"Dayeuhkolot, Kab. Bandung, Jawa Barat","Universitas Widyatama (2017-2021)
S1 Teknik Informatika - IPK 3,41","SMK Informatika Bandung (2014-2017)
Rekayasa Perangkat Lunak",LPKIA,0,0,,"HTML, CSS, Javascript, bootstrap 5, bootstrap 4.6, PHP, CodeIgniter, Laravel, YII, Zend, Mysql PhpMyAdmin, Mongo DB, PostgreSQL, Oracle, REST API, JSON, Bootstrap, JQuery, Ajax, Vue JS, React JS, Angular JS, Node JS, Postman, Python, Docker, Flutter, Java, Nest JS, Next JS","[""Sertifikat Partisipasi Kompetisi Pembuatan Game bersama HIMAKOM LPKIA"",""Sertifikat Belajar Prinsip Pemrograman SOLID"",""Sertifikat Memulai Pemrograman Dengan Swift"",""Sertifikat Belajar Dasar Visualisasi Data"",""Sertifikat Memulai Pemrograman Dengan Dart"",""Sertifikat Belajar Membuat Aplikasi Back-End untuk Pemul"",""Sertifikat Belajar Dasar Pemrograman Web"",""Sertifikat Belajar Dasar Pemrograman JavaScript"",""Sertifikat Belajar Membuat Front-End Web untuk Pemula"",""Cloud Practitioner Essentials (Belajar Dasar AWS Cloud)"",""Belajar Membuat Aplikasi Back-End untuk Pemula""]",8000000.0,12000000.0
SKU-FUNU916,Fullstack Software Engineer,,3,Mid-Level,"Jakarta Selatan, DKI Jakarta",Universitas Teknologi Yogyakarta - Bachelor of Informatics,,,0,0,,"PHP Native, Laravel Framework, CodeIgniter Framework, Yii PHP Framework, JavaScript, TypeScript, VUE JS, React JS, React Native, Bootstrap CSS, Tailwind CSS, Bulma CSS, Elasticsearch, MySQL, PostgreSQL, MongoDB, Redis Caching, Java, Kotlin, NginX, Apache, Docker","[""BNSP Web Developer - LSP TIK Indonesia""]",8000000.0,14000000.0
SKU-STAD013,Staff Admin Sales,Admin,7,Mid-Level,Jakarta Timur,SMK Strada Budi Luhur (2011-2014) Administrasi Perkantoran,SMP Strada Kampung Sawah (2008-2011),SD Strada Kampung Sawah (2002-2008),0,0,,"Microsoft Office, SAP, Linux",,4500000.0,7000000.0
SKU-FRNU173,Frontend Developer,,4,Mid-Level,,"Bina Sarana Informatika University, Information Technology, Sep 2026","SMKN 2 Jakarta, Software Engineering, Jun 2019",,0,0,can join ASAP,"React.js, Next.js, Astro, Angular.js, Vite, Redux, Jest, ina-sdk, ApexCharts, WordPress, Figma, RESTful APIs, Git, SonarQube","[""Front-end and Back-end Training with BabaStudio"",""Database System Training with Zahir"",""Programming Essentials in Python with OpenEDG Python Institute""]",8000000.0,14000000.0
SKU-IOIO262,iOS Developer,iOS Developer,2,Mid-Level,"Jakarta, Indonesia","BINUS UNIVERSITY 2023 – 2024
Master of Computer Science","BINUS UNIVERSITY 2018 – 2022
Bachelor of Computer Science, Major in Cyber Security",APPLE DEVELOPER ACADEMY FEB 2021 – DEC 2021,21500000,23000000,2 month notice,"Swift, UIKit, SwiftUI, Clean Architecture, MVC, MVVM, MVP, VIPER, TCA, Git, BitBucket, Figma, Jira, Apple Human Interface Guidelines, Apple Accessibility, CI-CD","[""Certificate of Completion of Apple Developer Academy Program (2021)"",""App Development with Swift Certified User""]",12000000.0,18000000.0
SKU-WENU787,Web Developer / App Developer / DevOps,,3,Mid-Level,Jakarta Timur,"Universitas Bina Nusantara - Indonesia Mar 2024 - Jun 2025 (Expected)
Undergraduate in Computer Science, 3.70/4.00","Aviation College - jakarta Aug 2018 - Aug 2021
Diploma in, 3.34/4.00",,0,0,,"JavaScript, PHP, HTML5, CSS3, Dart (Flutter), React Native, Node.js, React.js, Next.js, Express.js, Flutter, React Native, MySQL, MongoDB, PostgreSQL, Git, GitHub, Figma, Adobe Photoshop, Adobe Illustrator, CorelDraw, Adobe Premiere Pro, Adobe After Effects, AWS, Google Cloud Platform, Docker, RESTful API, Beautiful Soup, Selenium, Bootstrap, Tailwind CSS, Scrum, Kanban",[],8000000.0,12000000.0
SKU-FUNU827,Full Stack Developer,,5,Mid-Level,Kota Bandung,"Universitas Terbuka, S1 - SISTEM INFORMASI, null",,,0,0,,"PHP, Javascript, Dart, Codeigniter 3, Laravel, Angular, Mysql, Oracle, PostgreSQL, Flutter, Prestashop, React, Codeigniter 4, Typescript, Docker, Firebase",,8000000.0,14000000.0
SKU-CENU990,Cell Lead Backend,,6,Mid-Level,"Demak, Central Java, Indonesia","Universitas Dian Nuswantoro - Semarang, Fakultas Ilmu Komputer - Teknik Informatika S1, 2015 - 2019",,,0,0,,"Node.js, Docker, Linux, Laravel, Git, Redis, Typecript, Linux Shell, Nginx, React Native",[],8000000.0,14000000.0
SKU-MACO140,Mahasiswa Jurnalistik,Content Writer Intern,1,Junior,Sumedang,"S1 Jurnalistik – Universitas Padjadjaran, Jatinangor, Sumedang | 2024 – Sekarang",,,0,0,,"Penulisan Feature & Jurnalistik, Editing Konten & SEO Dasar, Manajemen Media Sosial, Microsoft Office & Google Workspace",,4000000.0,6000000.0
SKU-JANU593,Java Developer,,0,Junior,Bandar Lampung,"Informatics and Business Institute (IBI) Darmajaya October 2019 – November 2023
Bachelor’s Degree Informatics Engineering Bandar Lampung, Indonesia","Student Mobility Outbound 2021 October 2021 - January 2022
Nantong Vocational University (NTVU) Nantong, Jiangsu",,0,0,,"Java, SQL, Springboot, Mysql, PostgreSQL, Git, GitHub, Gitlab, Docker","[""Certificate Of Completion SYNRGY Academy Course Backend Java Developer Dec 2024"",""Achievement and certificate of progamming Student Mobility Outbound 2023"",""Certificate Of Appreciation Independent Study, PT. Stechoq Robotika Indonesia Dec 2022"",""Certificate Of Achievement Independent Study, PT. Stechoq Robotika Indonesia Dec 2022"",""Certificate Of Completion Programming with Java, PT. Dicoding Indonesia Dec 2022"",""Certificate Of Completion Learn Basic (SQL), PT. Dicoding Indonesia Dec 2022"",""Certificate Of Completion Learn Git Basics with GitHub, PT. Dicoding Indonesia Dec 2022""]",5000000.0,8000000.0
SKU-PRNU962,Programmer,,0,Mid-Level,Bekasi,"Mercu Buana University, IT, 2015-2019","SMK Mandalahayu, null, 2011-2014",,0,0,,"Next Js, Laravel, GOLANG, Node Js, Python, Flutter, React Native",,8000000.0,12000000.0
SKU-QUNU750,Quality Assurance (Manual Testing) - (Fulltime),,5,Mid-Level,Bandung,POLITECHNIC POS INDONESIA Bandung - Associate's Degree - Informatic Engineering Mar 2013 - May 2017,,,0,0,,"Node.js, Express.js, React.js, MongoDB, MySQL, HTML, CSS, Javascript, Bootstrap, Tailwind, RestAPI, Docker Containerization, Docker compose, Firebase, Git, PHP CodeIgniter, API Testing In Postman, Open API / Swagger","[""EDUWORK Yogyakarta, (Online, ID) - MERN Fullstack / Completion in eduwork ReacJS & NodeJS 2023 Jan 2023 – Aug 2023"",""Digital Talent Scholarship Jakarta, (Online, ID) - PRO22 Batch 3 UI & UX Design Jul 2022 – Oct 2022"",""Skilvul Jakarta, (Online, ID) - Basic Javascript (Gold) Nov 2022 – Nov 2022"",""Skilvul Jakarta, (Online, ID) - Javascript Intermediate (Gold) Nov 2022 – Nov 2022"",""Skilvul Jakarta, (Online, ID) - Amartha: UI/UX Challenge Jun 2022 – Jan 2023"",""Skilvul Jakarta, (Online, ID) - UI/UX Design Mastery (Gold) Aug 2022 – Aug 2023""]",8000000.0,12000000.0
SKU-NUNU141,,,0,Junior,Surabaya,"Universitas Pembangunan Nasional Veteran Jawa Timur 2021 – Present
Public Administration, 3.79/4.00",,,0,0,,"copy writing, SEO writers, Ms. Office (Ms. Word, Ms. Excel. Ms. Power Point), Google (Google Docs)","[""Volunteer certificate Today’s English"",""Volunteer certificate Setudio.id""]",3000000.0,5000000.0
SKU-CUNU1427,Curriculum Development Associate,,0,Junior,"Bekasi, Indonesia","President University - Cikarang, West Java, Indonesia Sep 2020 - Sep 2024","Bangkit Academy led by Google, Tokopedia, Gojek, & Traveloka Feb 2023 - Jul 2023",,0,0,,"Python, Java, Go, SQL, FastAPI, SpringBoot, guava, gin, pre-commit, TensorFlow, PyTorch, Jax, Tableau, Looker Studio, Docker, Portainer","[""DeepLearning.AI TensorFlow: Advanced Techniques Specialization [pdf][link]"",""DeepLearning.AI TensorFlow: Data and Deployment Specialization [pdf][link]"",""DeepLearning.AI TensorFlow Developer Professional Certificate [pdf][link]"",""DeepLearning.AI Natural Language Processing Specialization [pdf][link]"",""Deep Learning.AI Machine Learning Specialization [pdf][link]"",""Imperial College London Mathematics for Machine Learning Specialization [pdf][link]"",""Google IT Automation with Python Professional Certificate [pdf][link]"",""Google Data Analytics Professional Certificate [pdf][link]""]",8000000.0,12000000.0
SKU-NUNU1436,,,0,Junior,"Depok, Jawa Barat","Sekolah Tinggi Teknologi Terpadu Nurul Fikri, Informatics Engineering, Sep 2023",,,0,0,,"Protopie, Figma, Framer, Webflow, Figjam, Vscode, Adobe After Effect, Adobe Illustrator, Adobe Photoshop","[""Digital Talent Scholarship - Fresh Graduate Academy UX Design Coursera UX Design Jun 2023 - Sep 2023"",""Tier Up Academy - Product Design Bootcamp Product Design Mei 2023 - Aug 2023"",""Purwadhika Digital Technology School - Fullstack Web Development Web Development Jan 2023 - Jun 2023"",""Binar Academy - UI/UX Design & Research Bootcamp UI/UX Design Feb 2022 - Jul 2022""]",4000000.0,6000000.0
SKU-FRNU226,Frontend Engineer,,0,Junior,"Jakarta, Indonesia","Hacktiv8 Indonesia (Transcript) - Jakarta, Indonesia Oct 2023 - Jan 2024
Full Stack JavaScript Immersive Program - Grade A","Purwadhika Digital School - Batam, Indonesia Nov 2022 - June 2023
Full Stack Digital Marketing (SEO & Social Media) - Grade A","Telkom University - Bandung, Indonesia Sep 2018 - Sep 2022
Bachelor Degree in Bachelor of Accounting - 3.43/4.00",0,0,,"JavaScript, TypeScript, Next JS, React JS, React Native, Redux, Context API, React Query, React Hooks Form, Atomic Design, Axios, Apollo Client, HTML & CSS, Tailwind, Bootstrap, Firebase, Node JS, Express, Sequelize, PostgreSQL, GraphQL, Apollo Server, MongoDB, Redis, Rest API","[""Hacktiv8 Full Stack JavaScript"",""Hackerrank - JavaScript Basic (No expiration date)"",""Hackerrank - SQL Basic (No expiration date)"",""Hackerrank - React Basic (No expiration date)"",""Hackerrank - CSS Basic (No expiration date)"",""Hackerrank - Problem Solving (No expiration date)""]",6000000.0,9000000.0
SKU-STNU795,Staff IT/Software Engineer,,6,Mid-Level,Jakarta,Universitas Bunda Mulia (S1 IT) 2007-2011,SMA Budi Mulia 2004-2007,SLTP Budi Mulia 2001-2004,0,0,,"Html, Css, Bootstrap, Php, Codeigniter, Javascript, Angular, React, Jquery, Ajax, Jsonp, Ionic, Typescript, Mysql, Node, Express, Vue, Flutter, Asp, C#, Sql Server, Laravel",,8000000.0,12000000.0
SKU-SONU413,Software Quality Assurance,,3,Mid-Level,"Yogyakarta, Indonesia",Universitas Ahmad Dahlan - Bachelor of Information System (09/2017 - 09/2022),,,0,0,,"Automation Testing Expert,Manual Testing Expert,Communication Expert,API Testing Expert,Web Testing Expert,Performance Testing Expert,K6.io Expert,Locust.io Expert,Postman Expert,Test Management Expert,Newman Expert,Jest API Expert,Node.js Advanced,Katalon Studio Advanced,Mobile Testing Advanced,Cypress Advanced,Webdriver.io Advanced,Mocha & Chai Advanced,Javascript Advanced,JIRA Advanced,Defect Tracking Tools Advanced,Git Advanced,Bug Tracking Systems Advanced,Playwright Intermediate,Postgresql Intermediate,Mysql Intermediate,Python Intermediate,Java Intermediate,Selenium Intermediate,CI/CD Intermediate","[""Memulai Pemrograman dengan Python - Dicoding Academy (10/2023 - 10/2026)"",""Belajar Dasar-Dasar Devops - Dicoding Academy (10/2022 - 10/2025)"",""Belajar Jaringan Komputer untuk Pemula - Dicoding Academy (10/2022 - 10/2025)"",""Belajar Membuat Aplikasi Android untuk Pemula and Bahasa Kotilin - Dicoding Academy (06/2022 - 08/2023)"",""Automation Cypress.io, Locust.io and Mocha Chai - PT PKS Yogyakarta (04/2022 - 04/2023)"",""Belajar Membuat Aplikasi Back-End untuk Pemula - Dicoding Academy (12/2021 - 01/2023)"",""Automation Testing: Best Practices, Challenges, and Tools - Binar Insight (10/2021 - 10/2023)"",""Belajar Dasar Pemrograman JavaScript - Dicoding Academy (11/2022 - 11/2022)"",""Belajar Fundamental Front-End Web Development and Belajar Dasar Pemrograman Web - Dicoding Academy (05/2020 - 06/2020)""]",8000000.0,12000000.0
SKU-TENU329,Technical Writer,,2,Junior,"Sukabumi, Jawa Barat, Indonesia","Universitas Siliwangi – Tasikmalaya, Indonesia August 2017 – July 2021
S1 Informatika",,,0,0,,"Jira Software, Katalon, Postman, Microsoft Word, Microsoft Excel, Microsoft Powerpoint, Microsoft Teams, Microsoft Visio, Microsoft Outlook, System Analysis and Product in Data Processing (SAP), Google Suite, Google Analytics, Database Management, Software Cloud Storage, Ticketing System",[],6000000.0,9000000.0
SKU-SONU302,Software Engineer,,5,Mid-Level,Jakarta,Bachelor of Science in Computer Science,Master of Science in Software Engineering,,0,0,30 days,"Java, Python, JavaScript, AWS","[""AWS Certified Developer""]",15000000.0,20000000.0
SKU-ANNU851,ANDROID DEVELOPER,,7,Mid-Level,,BUDI LUHUR UNIVERSITY,Technical Information (2012-2016),,0,0,,"Android SDK, JSON, Rest API, Object Oriented Programming, JAVA, Kotlin, Android Studio, Git, Simply, Retrofit, MVP, Dagger, RxJava, Zeplin",,8000000.0,15000000.0
SKU-ITNU1043,IT Support,,2,Junior,Pati,"Universitas Dian Nuswantoro Kota Semarang, Sarjana di Teknik Informatika, 2017 - 2021","SMK Tunas Harapan Pati Pati, Smk di Teknik Komputer dan Jaringan, 2014 - 2017",,0,0,,"Microsoft Office, Python, Golang, MySQL, MikroTik","[""CCNA Cybersecurity Operations, KOMINFO, Nomor: 0447256141-118/OA. DTS/BLSDM. KOMINFO/2020, 2020"",""Python Fundamental for Data Science, DQLAB, Nomor: DQLABINTP1MKSWEW, 2021"",""MikroTik MTCNA, MikroTik, Nomor: 1704NA8958, 2017""]",4000000.0,6000000.0
SKU-WENU650,Web Developer,,4,Mid-Level,"Bondowoso, Jawa Timur",UNIVERSITAS ISLAM NEGERI MAULANA MALIK IBRAHIM MALANG (2020 - 2022) Informatics Engineering (Unfinished),SMKN 1 BONDOWOSO (2016 - 2019) Software Engineering,,0,0,,"PHP, CodeIgniter, Golang, Node-RED, Vue, BootstrapVue, React, Redux, Chakra UI, Next.js, TypeScript, Apache ECharts, CSS, jQuery, Laravel, Chart.js, WordPress",,8000000.0,12000000.0
SKU-NUNU1364,,,0,Junior,"Semarang, Indonesia","Universitas Negeri Semarang - Semarang, Indonesia Aug 2021 - Present
S-1, Teknik Informatika, 3.71/4.00",,,0,0,,"Java, Python, JavaScript, PHP, SQL, Pemrogramman Berbasis Objek, HTML, CSS, Bootstrap, Vue JS, Express JS","[""Belajar Dasar Pemrograman Web (2022)"",""Belajar Membuat Front-End Web untuk Pemula (2022)"",""Belajar Dasar-Dasar Devops (2022)"",""Memulai Pemrograman Dengan Python (2022)"",""Belajar Visualisasi Data (2022)"",""Belajar Machine Learning Untuk Pemula (2022)"",""Belajar Dasar Structured Query Language (SQL) (2023)"",""Pengenalan Data pada Pemrograman (Data 101) (2023)"",""Belajar Dasar Pemrograman untuk Menjadi Pengembang\nSoftware (2023)"",""Belajar Dasar Git dengan Github (2023)"",""Belajar Dasar Pemrograman Javascript (2023)"",""Belajar Membuat Aplikasi Back-End untuk Pemula (2023)"",""Belajar Membuat Aplikasi Web dengan React (2024)""]",4000000.0,7000000.0
SKU-FUNU911,Fullstack Developer,,4,Mid-Level,"Kota Bandung, Jawa Barat","Sekolah Tinggi Teknologi Bandung - Bandung, Indonesia Sep 2021 - Jun 2022","Sekolah Tinggi Teknologi Bandung - Bandung, Indonesia Sep 2015 - Sep 2019",,0,0,,"Javascript, PHP, Laravel, ReactJs, NextJs, VueJs, NodeJs, MySQL",,8000000.0,12000000.0
SKU-FRNU1207,Freelance Web Developer,,1,Junior,"Purwokerto, Banyumas, Central Java","Graduated from Senior High School 4 Purwokerto in 2017, majoring in Mathematics and Science with an average score of 86",,,0,0,,"JavaScript, TypeScript, Go, React, Next.js, Vue.js, Nuxt.js, Tailwind CSS, HTML, Express.js, Echo, MySQL, PostgreSQL, MongoDB, Git, Figma, Postman, Swagger, Docker, Linux",[],4000000.0,7000000.0
SKU-NUQU507,,Quality Assurance,1,Junior,Bandung,"Universitas Logistik dan Bisnis Internasional, Teknik Informatika, Sept, 2024","SMAN 2 Lembang, Ilmu Pengetahuan Sosial, Juni 2021",,0,0,,"HTML, JavaScript, MySQL, CodeIgniter, PHP, Laravel, CSS, Figma, Ms Office, Red Hat, Linux, ReactJs, NodeJs, IBM QRadar, Burp Suite, Python, TypeScript, Git","[""SAP01-SAP Overview (2021)"",""SAP ABAP01 (2022)"",""Red Hat Certified System Administrator (RHCSA) (2023)"",""IBM Academy - Hybrid Cloud & AI (2023)"",""IBM - Security Operations Center in Practice (2023)"",""IBM - Python for Data Science (2023)"",""IBM - Getting Started with Threat Intelligence and Hunting"",""IBM - Enterprise Security in Practice (2023)"",""IBM Artificial Intelligence (2023)"",""IBM Robotic Process Automation (2023)"",""IBM Cybersecurity (2023)"",""RedHat System Administration I (RH124) (2023)"",""RedHat System Administration II (RH134) (2023)"",""RHCSA Rapid Track course (RH199) (2023)""]",5000000.0,8000000.0
SKU-TENU961,Technical Mentor - Android Development,,1,Junior,Wonosobo,"Universitas Sains Al-Qur’an – Wonosobo, Indonesia August 2020 - Present
Informatics Engineering, 3.46/4.00",,,0,0,,"Kotlin, Android Native, Jetpack Compose, UI/UX, Git",[],4000000.0,7000000.0
SKU-ADAD004,Admin Penjualan,Admin,12,Mid-Level,"Rancaekek, Kab.Bandung","SMAN 1 Cicalengka, Kab. Bandung, 2007",,,0,0,,microsoft suite,[],4500000.0,7000000.0
SKU-NUNU722,,,0,Junior,"Yogyakarta, Indonesia","UPN ""Veteran"" Yogyakarta • Sleman, Special Region of Yogyakarta • 2024 • 3.61",,,0,0,,"ReactJS, React Native, Javascript, PHP, Redux, HTML, CSS, GIT","[""Front End Engineering Ruangguru • 2022"",""Junior Mobile Engineer (React Native) Codemaster • 2023""]",5000000.0,8000000.0
